prediction,Position,count,percentage
3,Centrocampista difensivo,403,2.617392998636098
3,Terzino Sinistro,495,3.2149119958433463
3,Esterno destro,26,0.16886406442813534
3,Mediano destro,20,0.12989543417548874
3,Esterno sinistro,26,0.16886406442813534
3,Terzino destro,555,3.604598298369812
3,Mediano sinistro,17,0.11041111904916542
3,Centrocampista offensivo,14,0.09092680392284211
3,Ala destra,1,0.006494771708774437
3,Ala sinistra,1,0.006494771708774437
3,Difensore centrale,2299,14.931480158472429
3,Attaccante,7,0.045463401961421054
3,Centrocampista,302,1.96142105604988
2,Terzino Sinistro,651,4.228096382412158
2,Centrocampista,1356,8.806910437098136
2,Esterno sinistro,174,1.1300902773267518
2,Mediano destro,28,0.18185360784568422
2,Difensore centrale,344,2.2342014678184063
2,Centrocampista difensivo,827,5.371176203156459
2,Ala destra,35,0.22731700980710529
2,Centrocampista offensivo,241,1.5652399818146392
2,Seconda punta,10,0.06494771708774437
2,Mediano sinistro,26,0.16886406442813534
2,Attaccante,62,0.40267584594401507
2,Ala sinistra,41,0.2662856400597519
2,Terzino destro,579,3.760472819380399
2,Esterno destro,196,1.2729752549197897
1,Portiere,1709,11.099564850295513
0,Mediano sinistro,1,0.006494771708774437
0,Centrocampista,218,1.4158602325128273
0,Centrocampista offensivo,596,3.870883938429564
0,Ala sinistra,265,1.7211145028252255
0,Attaccante,2091,13.580567643047347
0,Terzino Sinistro,2,0.012989543417548873
0,Esterno sinistro,722,4.689225173735143
0,Centrocampista difensivo,1,0.006494771708774437
0,Seconda punta,73,0.47411833474053383
0,Ala destra,258,1.6756511008638046
0,Terzino destro,2,0.012989543417548873
0,Esterno destro,723,4.695719945443918
