K,Score,WSS,Time
2,0.8513697850484507,3.1447372740542064E9,19750
3,0.48656424755829486,2.263082887589239E9,17519
4,0.4720704268886759,1.7917924996140804E9,17233
5,0.39077532118034625,1.6618923722492473E9,15790
6,0.37039662069506335,1.5097933539283576E9,17789
7,0.35650771373724544,1.442873962061542E9,16751
8,0.33639091870962906,1.388146163862711E9,16229
9,0.32236370012811444,1.3425510536592999E9,20799
10,0.3097363761375741,1.3008227521611629E9,17661
11,0.31562400636388455,1.2505409233310027E9,16026
12,0.3085987503838951,1.2149844410297725E9,17725
13,0.24222245678516077,1.2059212569954882E9,16221
14,0.29039349491685595,1.1717220583958483E9,18149
15,0.28732911444382364,1.1602826155698154E9,18253
16,0.22438882090597803,1.1278357646978452E9,18007
17,0.20458663468545657,1.117815626323131E9,19331
