Player Name,Pace,Acceleration,Sprint Speed,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Shooting,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Passing,Vision,Crossing,Free Kick,Short Pass,Long Pass,Pass Curve,Defending,Interceptions,Heading,Marking,Standing Tackle,Sliding Tackle,Physicality,Jumping,Stamina,Strength,Aggression,Diving,Reflexes,Handling,Speed,Kicking,Positoning,prediction
Fejiri Okenabirhie,81,79,83,63,78,72,46,63,53,57,45,59,61,56,41,46,45,47,41,32,49,42,38,27,25,59,26,21,22,68,74,72,72,52,0,0,0,0,0,0,0
Will Vaulks,60,61,60,64,64,65,68,66,62,60,55,56,68,70,28,55,62,67,54,50,67,66,42,66,67,65,65,66,64,75,71,81,74,70,0,0,0,0,0,0,2
Georgiy Dzhikiya,82,91,75,63,55,65,70,55,73,53,65,43,74,60,26,45,61,50,58,68,65,67,60,77,78,68,80,75,85,78,68,64,86,77,0,0,0,0,0,0,2
Stephan Auer,71,67,74,63,73,72,59,63,52,50,58,49,58,48,43,43,58,54,61,46,62,60,48,61,59,53,59,67,65,71,66,77,70,68,0,0,0,0,0,0,2
Edgar Babayan,80,85,76,65,75,77,55,62,59,60,65,59,66,58,52,58,60,60,59,50,62,59,57,52,52,57,52,55,42,63,57,66,61,65,0,0,0,0,0,0,2
Sander van de Streek,70,69,70,70,69,70,74,74,76,74,78,75,73,74,70,68,66,69,59,61,68,70,65,57,60,74,50,58,47,65,86,77,62,53,0,0,0,0,0,0,2
Kenny McLean,75,75,75,73,76,61,69,73,74,68,68,66,78,66,56,71,68,73,54,67,72,75,63,56,51,59,62,54,47,70,73,78,72,56,0,0,0,0,0,0,2
George Newell,47,35,57,49,61,61,48,47,45,54,51,57,48,54,39,61,38,42,29,32,43,32,38,19,17,52,15,13,19,56,71,54,64,33,0,0,0,0,0,0,0
Ronaldo Tavera,65,70,61,64,66,78,59,68,58,47,39,50,51,42,28,55,65,69,46,50,77,74,34,60,65,48,57,66,57,63,71,72,57,64,0,0,0,0,0,0,2
Johan Arango,78,76,79,72,76,67,59,70,69,72,75,72,75,74,53,72,71,73,75,79,70,63,79,30,33,41,34,24,21,71,53,63,71,83,0,0,0,0,0,0,0
Charles-Elie Laprevotte,71,70,71,62,71,73,62,62,51,54,52,54,59,53,47,49,60,66,53,43,64,63,46,59,61,41,60,61,60,66,63,66,67,62,0,0,0,0,0,0,2
Ja�ro Riedewald,64,65,63,69,69,59,70,75,62,51,53,46,69,49,45,42,68,64,65,35,77,75,35,74,75,69,75,75,72,69,67,67,70,69,0,0,0,0,0,0,2
Bacary Sagna,70,71,69,73,68,76,79,73,80,55,63,44,69,61,56,59,68,62,74,47,72,66,66,75,76,74,75,75,75,76,84,67,80,75,0,0,0,0,0,0,2
Nahuel Barrios,76,83,71,72,70,94,65,70,65,59,57,58,65,60,51,57,67,67,63,45,73,65,63,40,26,47,44,40,51,38,62,51,28,42,0,0,0,0,0,0,0
Keun Hoan Kim,55,49,59,52,30,57,54,58,57,50,55,48,54,55,39,40,57,63,37,35,67,65,33,56,63,63,45,59,59,70,61,59,80,63,0,0,0,0,0,0,3
Ghislain Konan,82,85,79,77,77,75,74,76,77,48,70,43,57,46,58,41,68,67,72,32,71,64,73,70,71,60,67,75,69,73,69,90,66,70,0,0,0,0,0,0,2
Dino Hodzic,0,15,22,0,34,22,33,19,30,0,7,5,20,7,8,15,0,38,14,14,15,26,10,0,13,13,20,13,12,0,37,17,32,20,45,58,48,15,56,51,1
Aleix Vidal Parreu,91,89,93,80,77,77,80,82,71,67,66,67,84,59,48,51,72,70,75,46,78,64,69,70,73,58,73,69,73,72,82,70,68,80,0,0,0,0,0,0,2
Joris Gnagnon,66,66,66,60,40,54,70,69,69,33,35,28,48,27,32,47,46,34,35,28,65,47,29,76,76,76,73,79,73,79,84,65,87,76,0,0,0,0,0,0,3
Benjamin Pintol,71,69,73,64,71,62,58,67,61,61,65,56,69,62,56,67,57,59,59,60,60,40,62,40,46,61,35,37,35,78,72,84,77,73,0,0,0,0,0,0,0
Mike Owusu,76,72,80,66,67,50,49,64,57,58,48,60,60,56,47,51,54,45,59,33,61,51,50,28,20,49,25,30,21,63,53,66,64,58,0,0,0,0,0,0,0
Kenneth Kronholm,0,29,42,0,30,38,69,20,45,0,9,9,23,8,7,18,0,44,10,10,24,21,9,0,12,9,10,8,9,0,67,35,77,30,74,73,64,29,62,68,1
Nicola Ravaglia,0,29,31,0,39,28,64,21,49,0,6,10,42,11,12,32,0,48,14,16,35,42,11,0,14,11,16,9,10,0,33,18,52,19,63,69,65,29,57,66,1
Yhoan Andzouana,64,67,61,59,47,71,51,62,45,57,50,59,66,46,50,61,54,51,60,40,53,59,52,37,25,39,50,32,32,33,33,32,35,31,0,0,0,0,0,0,0
Marc Richards,45,53,38,59,59,64,56,60,64,64,69,63,72,55,61,69,53,60,42,55,58,43,58,25,22,65,19,20,20,71,79,68,79,54,0,0,0,0,0,0,0
Ivan Lanni,0,38,48,0,60,48,66,18,64,0,7,17,22,17,13,18,0,33,15,14,40,26,23,0,13,18,15,19,21,0,72,41,43,28,73,70,62,38,55,61,1
Martyn Woolford,60,60,60,62,61,65,60,62,58,58,60,57,60,56,60,60,61,59,62,50,63,61,59,41,44,58,50,30,27,69,67,69,70,66,0,0,0,0,0,0,0
