Player Name,Overall,Position,prediction,distanceFromCenter
Lionel Messi,95,Seconda punta,0,20671.409731017367
C. Ronaldo dos Santos Aveiro,94,Attaccante,0,19088.523041459706
Noah Christoffersson,47,Attaccante,0,15745.256832613006
Neymar da Silva Santos Jr.,92,Ala sinistra,0,15602.201894216729
Fernando Javier Llorente Torres,78,Attaccante,0,15571.866002477685
Robert Lewandowski,91,Attaccante,0,15512.153217181787
Paulo Dybala,90,Centrocampista offensivo,0,15238.605651033537
Eden Hazard,91,Ala sinistra,0,14975.182100235712
Bas Dost,83,Attaccante,0,14731.602621342565
Zlatan Ibrahimovic,85,Attaccante,0,14464.289755254898
