K,Score,WSS,Time
2,0.8513697850484507,3.144737274054206E9,19619
3,0.48656424755829486,2.263082887589239E9,17837
4,0.4720704268886759,1.7917924996140804E9,15830
5,0.39077532118034625,1.661892372249247E9,15803
6,0.37039662069506335,1.5097933539283576E9,18054
7,0.35650771373724544,1.4428739620615418E9,16279
8,0.33639091870962906,1.388146163862711E9,18820
9,0.32236370012811444,1.3425510536592999E9,18095
10,0.3097363761375741,1.3008227521611629E9,15784
11,0.31562400636388455,1.2505409233310027E9,18565
12,0.3085987503838951,1.2149844410297725E9,16694
13,0.24222245678516077,1.2059212569954882E9,16400
14,0.29039349491685595,1.1717220583958483E9,18273
15,0.28732911444382364,1.1602826155698154E9,17454
16,0.22438882090597803,1.1278357646978452E9,18327
17,0.20458663468545657,1.117815626323131E9,18981
