Player Name,Overall,Position,prediction,distanceFromCenter
Lionel Messi,95,CF,1,20660.304274494665
C. Ronaldo dos Santos Aveiro,94,ST,1,19078.663507592544
Noah Christoffersson,47,ST,1,15754.580561073884
Neymar da Silva Santos Jr.,92,LW,1,15592.693376411919
Fernando Javier Llorente Torres,78,ST,1,15568.363003051683
Robert Lewandowski,91,ST,1,15502.412649873071
Paulo Dybala,90,CAM,1,15229.501247249462
Eden Hazard,91,LW,1,14965.23969326359
Bas Dost,83,ST,1,14728.208411729784
Zlatan Ibrahimovic,85,ST,1,14455.407200831702
