prediction,Position,count,percentage
3,ST,62,0.40267584594401507
3,CM,1359,8.82639475222446
3,CF,10,0.06494771708774437
3,LB,653,4.241085925829707
3,CAM,240,1.5587452101058648
3,CB,347,2.2536857829447294
3,LWB,26,0.16886406442813534
3,LM,174,1.1300902773267518
3,RW,35,0.22731700980710529
3,RB,588,3.8189257647593684
3,LW,41,0.2662856400597519
3,RM,195,1.2664804832110153
3,RWB,28,0.18185360784568422
3,CDM,829,5.384165746574008
2,GK,1709,11.099564850295513
1,ST,2091,13.580567643047347
1,LM,723,4.695719945443918
1,CDM,2,0.012989543417548873
1,CM,217,1.4093654608040527
1,CF,73,0.47411833474053383
1,LW,265,1.7211145028252255
1,CAM,597,3.8773787101383386
1,RB,2,0.012989543417548873
1,LWB,1,0.006494771708774437
1,RM,724,4.702214717152692
1,RW,258,1.6756511008638046
1,LB,2,0.012989543417548873
0,LB,493,3.201922452425797
0,LW,1,0.006494771708774437
0,CB,2296,14.911995843346107
0,LWB,17,0.11041111904916542
0,RM,26,0.16886406442813534
0,RW,1,0.006494771708774437
0,RWB,20,0.12989543417548874
0,CDM,400,2.5979086835097744
0,CM,300,1.9484315126323308
0,RB,546,3.546145352990843
0,CAM,14,0.09092680392284211
0,LM,25,0.1623692927193609
0,ST,7,0.045463401961421054
